Date,MONT-SUR-ROLLE - Humidité moy. (%),MONT-SUR-ROLLE - Précipitations tot. (mm ou litres/m2),MONT-SUR-ROLLE - Température moy. +2 m (°C)
23.02.2023,81,0,9.8
24.02.2023,76,0.5,9.5
25.02.2023,65,0,7.7
26.02.2023,50,0,1
27.02.2023,60,0,0.7
28.02.2023,68,0,0.9
01.03.2023,71,0,1
02.03.2023,68,0,3.5
03.03.2023,78,0,3.2
04.03.2023,70,0,6.3
05.03.2023,70,0,4.2
06.03.2023,63,0,4.5
07.03.2023,65,0.1,4.4
08.03.2023,86,6.8,6.5
09.03.2023,59,1.3,12.1
10.03.2023,81,10.9,8.3
11.03.2023,97,7.8,5.1
12.03.2023,80,7.5,9.5
13.03.2023,63,5.2,13.9
14.03.2023,85,19.6,7.1
15.03.2023,52,0,5.9
16.03.2023,60,0,6.2
17.03.2023,60,0,9.2
18.03.2023,52,0,10.7
19.03.2023,78,4.3,9.6
20.03.2023,75,0,9.2
21.03.2023,73,0,9.3
22.03.2023,55,0,12.2
23.03.2023,54,0.2,14.3
24.03.2023,77,4.2,11.5
25.03.2023,68,1.5,9.7
26.03.2023,78,6,8.6
27.03.2023,71,3.4,5.7
28.03.2023,61,0,5.4
29.03.2023,59,0.1,11.1
30.03.2023,67,0,13.2
31.03.2023,69,4.9,11.8
01.04.2023,86,11.4,7.6
02.04.2023,90,2.7,6.6
03.04.2023,69,0,7
04.04.2023,46,0,4.9
05.04.2023,42,0,6.1
06.04.2023,52,0,7.2
07.04.2023,72,1.3,7.9
08.04.2023,61,0,9.2
09.04.2023,60,0,10.3
10.04.2023,58,0,10.6
11.04.2023,67,1.9,11.7
12.04.2023,73,10.3,10.7
13.04.2023,68,2.8,6.5
14.04.2023,65,0,7.3
15.04.2023,88,6.9,7.7
16.04.2023,84,0.1,8
17.04.2023,66,0,10.4
18.04.2023,66,0,11.5
19.04.2023,73,0,11.4
20.04.2023,81,2.9,7.1
21.04.2023,85,1.5,7.9
22.04.2023,92,0.5,9.3
23.04.2023,81,6.4,12.4
24.04.2023,66,11.2,11
25.04.2023,67,2.6,9.6
26.04.2023,64,0,10.2
27.04.2023,56,0,13.8
28.04.2023,60,2,17.9
29.04.2023,92,18.8,14.9
30.04.2023,74,0,13.8
01.05.2023,84,4.2,11.9
02.05.2023,61,0,13.9
03.05.2023,59,0,14.9
04.05.2023,60,0,16.4
05.05.2023,53,0,18.4
06.05.2023,67,0.8,17.7
07.05.2023,80,0.6,15.6
08.05.2023,81,0.2,15.8
09.05.2023,83,12.3,14.7
10.05.2023,72,1.2,12.6
11.05.2023,77,2.2,11.7
12.05.2023,64,0,13.6
13.05.2023,80,16.2,12.8
14.05.2023,74,1,13.6
15.05.2023,79,1,12.9
16.05.2023,64,0,12.9
17.05.2023,54,0,11.4
18.05.2023,61,0.8,11.9
19.05.2023,63,0,13.9
20.05.2023,69,0,14.5
21.05.2023,77,0,15.9
22.05.2023,70,0,18.6
23.05.2023,68,0,19.2
24.05.2023,69,0,16.2
25.05.2023,64,0,15.5
26.05.2023,66,0,18.4
27.05.2023,53,0,20.5
28.05.2023,48,0,20.5
29.05.2023,36,0,21.2
30.05.2023,36,0,21
31.05.2023,51,0,19.8
